"","sub","sulci","dice","method","type"
"385",105923,"pos",0.708631973,"CNN","prominent sulci"
"386",106016,"pos",0.769061986,"CNN","prominent sulci"
"387",106319,"pos",0.834293948,"CNN","prominent sulci"
"388",106521,"pos",0.595731125,"CNN","prominent sulci"
"389",107018,"pos",0.866293034,"CNN","prominent sulci"
"390",107220,"pos",0.794686907,"CNN","prominent sulci"
"391",107321,"pos",0.832630098,"CNN","prominent sulci"
"392",107422,"pos",0.766423358,"CNN","prominent sulci"
"393",107725,"pos",0.73255814,"CNN","prominent sulci"
"394",108121,"pos",0.909294513,"CNN","prominent sulci"
"395",108222,"pos",0.749166667,"CNN","prominent sulci"
"396",108323,"pos",0.799449289,"CNN","prominent sulci"
"397",108525,"pos",0.782316732,"CNN","prominent sulci"
"398",108828,"pos",0.911353033,"CNN","prominent sulci"
"399",109123,"pos",0.715988994,"CNN","prominent sulci"
"400",109325,"pos",0.725164283,"CNN","prominent sulci"
"401",109830,"pos",0.891344383,"CNN","prominent sulci"
"402",110007,"pos",0.831,"CNN","prominent sulci"
"403",110411,"pos",0.758150114,"CNN","prominent sulci"
"404",110613,"pos",0.713833992,"CNN","prominent sulci"
"405",112920,"pos",0.795366795,"CNN","prominent sulci"
"406",114924,"pos",0.846062759,"CNN","prominent sulci"
"407",128127,"pos",0.857911733,"CNN","prominent sulci"
"408",133928,"pos",0.785900783,"CNN","prominent sulci"
"409",144125,"pos",0.69458712,"CNN","prominent sulci"
"410",146937,"pos",0.847354397,"CNN","prominent sulci"
"411",151425,"pos",0.922088802,"CNN","prominent sulci"
"412",151829,"pos",0.766101695,"CNN","prominent sulci"
"413",164939,"pos",0.814747383,"CNN","prominent sulci"
"414",176744,"pos",0.813690476,"CNN","prominent sulci"
"415",180937,"pos",0.779145926,"CNN","prominent sulci"
"416",185947,"pos",0.770672098,"CNN","prominent sulci"
"417",214019,"pos",0.680174811,"CNN","prominent sulci"
"418",268749,"pos",0.851581509,"CNN","prominent sulci"
"419",365343,"pos",0.693028944,"CNN","prominent sulci"
"420",380036,"pos",0.712216859,"CNN","prominent sulci"
"421",517239,"pos",0.871659767,"CNN","prominent sulci"
"422",522434,"pos",0.82072473,"CNN","prominent sulci"
"423",531536,"pos",0.781507283,"CNN","prominent sulci"
"424",566454,"pos",0.740432612,"CNN","prominent sulci"
"425",585256,"pos",0.728776665,"CNN","prominent sulci"
"426",622236,"pos",0.861918026,"CNN","prominent sulci"
"427",644044,"pos",0.811493527,"CNN","prominent sulci"
"428",679770,"pos",0.844388557,"CNN","prominent sulci"
"429",687163,"pos",0.785879248,"CNN","prominent sulci"
"430",867468,"pos",0.768613139,"CNN","prominent sulci"
"431",910241,"pos",0.708001181,"CNN","prominent sulci"
"432",959574,"pos",0.863585118,"CNN","prominent sulci"
"433",100206,"mcgs",0.914049587,"CNN","prominent sulci"
"434",100307,"mcgs",0.797849462,"CNN","prominent sulci"
"435",100408,"mcgs",0.918753194,"CNN","prominent sulci"
"436",100610,"mcgs",0.870356331,"CNN","prominent sulci"
"437",101006,"mcgs",0.828239346,"CNN","prominent sulci"
"438",101107,"mcgs",0,"CNN","prominent sulci"
"439",101309,"mcgs",0.937101911,"CNN","prominent sulci"
