sub,hemi,label,total_surface_area_.mm.2.,cortical_thickness_mean,dataset,group,group_hemi,sulcal_depth_mm
002_S_6066,lh,icgs-p,26,3.191,ADNI,older adult,oa lh,2.39647484904667
002_S_6066,lh,ifrms,81,2.263,ADNI,older adult,oa lh,5.76832311062715
002_S_6066,lh,mcgs,734,2.179,ADNI,older adult,oa lh,14.5964804682088
002_S_6066,lh,pos,965,2.4,ADNI,older adult,oa lh,19.8224510960252
002_S_6066,lh,prculs,256,2.729,ADNI,older adult,oa lh,12.8256304964529
002_S_6066,lh,prcus-a,539,2.076,ADNI,older adult,oa lh,12.5096129088884
002_S_6066,lh,prcus-i,55,2.423,ADNI,older adult,oa lh,3.12621512927451
002_S_6066,lh,prcus-p,236,2.302,ADNI,older adult,oa lh,7.54886810001688
002_S_6066,lh,spls,448,2.384,ADNI,older adult,oa lh,10.3690914307487
002_S_6066,rh,icgs-p,14,3.26,ADNI,older adult,oa rh,0.584844008894583
002_S_6066,rh,ifrms,71,3.394,ADNI,older adult,oa rh,1.87198432707809
002_S_6066,rh,mcgs,514,2.139,ADNI,older adult,oa rh,14.206379666592
002_S_6066,rh,pos,1285,2.425,ADNI,older adult,oa rh,19.8206326404134
002_S_6066,rh,prculs,553,2.066,ADNI,older adult,oa rh,14.8336929396893
002_S_6066,rh,prcus-a,112,2.672,ADNI,older adult,oa rh,6.5433538332393
002_S_6066,rh,prcus-i,95,2.525,ADNI,older adult,oa rh,6.27996264491047
002_S_6066,rh,prcus-p,100,2.152,ADNI,older adult,oa rh,4.66358155054146
002_S_6066,rh,spls,290,2.419,ADNI,older adult,oa rh,10.2993194456507
002_S_6066,rh,sspls,97,3.523,ADNI,older adult,oa rh,1.04363608084401
002_S_6103,lh,icgs-p,13,2.769,ADNI,older adult,oa lh,2.78009469209649
002_S_6103,lh,ifrms,39,3.026,ADNI,older adult,oa lh,3.29885118774743
002_S_6103,lh,mcgs,563,2.525,ADNI,older adult,oa lh,15.9874433160721
002_S_6103,lh,pos,1290,2.548,ADNI,older adult,oa lh,25.5179801209776
002_S_6103,lh,prculs,448,2.327,ADNI,older adult,oa lh,22.4130256649854
002_S_6103,lh,prcus-a,250,2.384,ADNI,older adult,oa lh,9.44605075660579
002_S_6103,lh,prcus-i,392,2.466,ADNI,older adult,oa lh,12.900763600035
002_S_6103,lh,prcus-p,119,2.817,ADNI,older adult,oa lh,4.25537479787473
002_S_6103,lh,spls,508,2.795,ADNI,older adult,oa lh,14.9514142604873
002_S_6103,lh,sps,776,2.281,ADNI,older adult,oa lh,15.6135319866699
002_S_6103,rh,ifrms,64,3.728,ADNI,older adult,oa rh,1.74934943908348
002_S_6103,rh,mcgs,543,2.297,ADNI,older adult,oa rh,14.1032569557492
002_S_6103,rh,pos,1142,2.494,ADNI,older adult,oa rh,26.1025713725407
002_S_6103,rh,prculs,507,2.292,ADNI,older adult,oa rh,12.4632338071006
002_S_6103,rh,prcus-a,563,2.373,ADNI,older adult,oa rh,12.166438154236
002_S_6103,rh,prcus-i,150,3.144,ADNI,older adult,oa rh,2.05150552169693
002_S_6103,rh,prcus-p,150,2.931,ADNI,older adult,oa rh,5.54827620848941
002_S_6103,rh,spls,415,2.573,ADNI,older adult,oa rh,12.1586259855799
002_S_6103,rh,sps,519,2.266,ADNI,older adult,oa rh,14.1507612137493
002_S_6680,lh,icgs-p,23,2.655,ADNI,older adult,oa lh,2.11578208245722
002_S_6680,lh,ifrms,66,3.256,ADNI,older adult,oa lh,4.71411880423563
002_S_6680,lh,mcgs,1057,2.087,ADNI,older adult,oa lh,16.3655681212709
002_S_6680,lh,pos,1049,2.086,ADNI,older adult,oa lh,16.8802690471763
002_S_6680,lh,prculs,238,2.32,ADNI,older adult,oa lh,11.7549544444668
002_S_6680,lh,prcus-a,89,2.16,ADNI,older adult,oa lh,10.1568719530057
002_S_6680,lh,prcus-i,444,2.057,ADNI,older adult,oa lh,13.8110251141911
002_S_6680,lh,prcus-p,266,2.261,ADNI,older adult,oa lh,7.66782594135493
002_S_6680,lh,spls,774,2.434,ADNI,older adult,oa lh,16.2047504720392
002_S_6680,lh,sps,657,2.026,ADNI,older adult,oa lh,12.5038742575301
002_S_6680,lh,sspls,72,2.948,ADNI,older adult,oa lh,3.58854154777104
002_S_6680,rh,icgs-p,55,2.929,ADNI,older adult,oa rh,2.97720374834592
002_S_6680,rh,ifrms,88,2.745,ADNI,older adult,oa rh,3.17335696604314
002_S_6680,rh,mcgs,950,2.119,ADNI,older adult,oa rh,17.1133251045122
002_S_6680,rh,pos,1347,2.138,ADNI,older adult,oa rh,19.2996762930778
002_S_6680,rh,prculs,574,2.092,ADNI,older adult,oa rh,11.7075693445398
002_S_6680,rh,prcus-a,377,2.049,ADNI,older adult,oa rh,9.05317137998941
002_S_6680,rh,prcus-i,78,2.881,ADNI,older adult,oa rh,5.296444323892
002_S_6680,rh,prcus-p,57,2.584,ADNI,older adult,oa rh,7.27961734084348
002_S_6680,rh,spls,382,2.438,ADNI,older adult,oa rh,12.8559275868094
002_S_6680,rh,sspls,52,3.2,ADNI,older adult,oa rh,2.85491859116798
003_S_0981,lh,ifrms,39,2.591,ADNI,older adult,oa lh,3.14737174531279
003_S_0981,lh,mcgs,736,1.555,ADNI,older adult,oa lh,14.5305443472275
003_S_0981,lh,pos,556,1.979,ADNI,older adult,oa lh,19.6616875080695
003_S_0981,lh,prculs,495,1.628,ADNI,older adult,oa lh,17.0191443170648
