Sulci,beta
prcus-i,-0.3764683417002623
prcus-a,0.0
ifrms,-1.9046319070859312
sspls-v,1.4574965650397975
mcgs,0.5788296707165433
pos,-0.265429107112523
sbps,-1.6475909920358227
prculs-d,-0.11623612249266202
prcus-p,1.8897908109863346
prcus-i,-0.4523926481132535
prcus-a,0.0
ifrms,-1.8390710925661757
sspls-v,1.271645754578363
mcgs,0.4520880439628847
pos,0.0
sbps,-1.5280514386743371
prculs-d,-0.35639819332392536
prcus-p,1.9157064521621479
prcus-i,-0.27616379579757605
prcus-a,0.03292201932202018
ifrms,-2.0468735343673736
sspls-v,1.4955792464442226
mcgs,0.3094934722596072
pos,-0.04051292887383197
sbps,-1.6090115991220744
prculs-d,-0.20866495952970188
prcus-p,2.0544913260747033
prcus-i,-0.38242482398783445
prcus-a,-0.09496916371308525
ifrms,-2.010711657849152
sspls-v,1.2726384538804698
mcgs,0.5552354556773635
pos,0.0
sbps,-1.6613101971478494
prculs-d,-0.05769497145985145
prcus-p,1.9279128467347542
prcus-i,-0.28594957672078686
prcus-a,-0.0
ifrms,-2.0213652842911
sspls-v,1.4352165183147445
mcgs,0.45578266560215064
pos,-0.0
sbps,-1.5406333279821727
prculs-d,-0.13360363431066324
prcus-p,1.925851230746758
prcus-i,-0.33490076664152557
prcus-a,0.0
ifrms,-1.9633052091530392
sspls-v,1.4150888084633633
mcgs,0.5601188086317541
pos,-0.0
sbps,-1.660290712487281
prculs-d,-0.4106852196697264
prcus-p,1.6412646458829798
prcus-i,-0.10470700466975975
prcus-a,-0.0
ifrms,-2.024150064407989
sspls-v,1.2672419564818733
mcgs,0.4978294876058638
pos,0.09544756633199912
sbps,-1.7009962117680997
prculs-d,-0.40494992890464176
prcus-p,1.3868034281906663
prcus-i,-0.184670731159712
prcus-a,0.16540189756571042
ifrms,-2.2519003943989997
sspls-v,1.6792196564769133
mcgs,1.0708363974127768
pos,0.5042057665978276
sbps,-1.284970392628515
prculs-d,-0.6109369245179707
prcus-p,1.4467798484905328
prcus-i,-0.5399846760036967
prcus-a,-0.0
ifrms,-2.8668587102995535
sspls-v,1.4149849047046927
mcgs,0.16931698995485117
pos,-0.0
sbps,-1.6402112287431967
prculs-d,-0.2057647107700839
prcus-p,1.9496591568825754
prcus-i,-0.9256995485443223
prcus-a,-0.24267467553088734
ifrms,-1.875096821812139
sspls-v,1.5193201724980874
