alpha_level,fold,RMSE,Sulci,beta,Model
0.1,24.0,5.712582105527247,prcus-i,-3.422581500066754,"Lasso(alpha=0.1, max_iter=10000)"
0.1,24.0,5.712582105527247,prcus-a,-2.1143647065486135,"Lasso(alpha=0.1, max_iter=10000)"
0.1,24.0,5.712582105527247,ifrms,-2.86785512676677,"Lasso(alpha=0.1, max_iter=10000)"
0.1,24.0,5.712582105527247,sspls-v,1.5368580653872852,"Lasso(alpha=0.1, max_iter=10000)"
0.1,25.0,6.125454171804516,mcgs,-0.83753874738282,"Lasso(alpha=0.1, max_iter=10000)"
0.1,25.0,6.125454171804516,pos,0.5351224607577273,"Lasso(alpha=0.1, max_iter=10000)"
0.1,25.0,6.125454171804516,sbps,-0.27580925038697146,"Lasso(alpha=0.1, max_iter=10000)"
0.1,25.0,6.125454171804516,prculs-d,-1.540770011014823,"Lasso(alpha=0.1, max_iter=10000)"
0.1,25.0,6.125454171804516,prcus-p,-2.323044406668481,"Lasso(alpha=0.1, max_iter=10000)"
0.1,25.0,6.125454171804516,prcus-i,-3.4649665276169093,"Lasso(alpha=0.1, max_iter=10000)"
0.1,25.0,6.125454171804516,prcus-a,-1.3783983170397296,"Lasso(alpha=0.1, max_iter=10000)"
0.1,25.0,6.125454171804516,ifrms,-3.00287132205015,"Lasso(alpha=0.1, max_iter=10000)"
0.1,25.0,6.125454171804516,sspls-v,0.4196704766291294,"Lasso(alpha=0.1, max_iter=10000)"
0.1,26.0,6.102311711017219,mcgs,-0.3593929608588065,"Lasso(alpha=0.1, max_iter=10000)"
0.1,26.0,6.102311711017219,pos,-0.41107371562523753,"Lasso(alpha=0.1, max_iter=10000)"
0.1,26.0,6.102311711017219,sbps,-0.41568345927830375,"Lasso(alpha=0.1, max_iter=10000)"
0.1,26.0,6.102311711017219,prculs-d,-1.6197481755734413,"Lasso(alpha=0.1, max_iter=10000)"
0.1,26.0,6.102311711017219,prcus-p,-1.747149333586757,"Lasso(alpha=0.1, max_iter=10000)"
0.1,26.0,6.102311711017219,prcus-i,-3.782256991899713,"Lasso(alpha=0.1, max_iter=10000)"
0.1,26.0,6.102311711017219,prcus-a,-2.2471292651580255,"Lasso(alpha=0.1, max_iter=10000)"
0.1,26.0,6.102311711017219,ifrms,-3.1232947652666025,"Lasso(alpha=0.1, max_iter=10000)"
0.1,26.0,6.102311711017219,sspls-v,0.589713673972206,"Lasso(alpha=0.1, max_iter=10000)"
0.1,27.0,6.478392112039507,mcgs,-0.9239435789917495,"Lasso(alpha=0.1, max_iter=10000)"
0.1,27.0,6.478392112039507,pos,0.0,"Lasso(alpha=0.1, max_iter=10000)"
0.1,27.0,6.478392112039507,sbps,-0.0,"Lasso(alpha=0.1, max_iter=10000)"
0.1,27.0,6.478392112039507,prculs-d,-1.7303318929435267,"Lasso(alpha=0.1, max_iter=10000)"
0.1,27.0,6.478392112039507,prcus-p,-2.2480353973836675,"Lasso(alpha=0.1, max_iter=10000)"
0.1,27.0,6.478392112039507,prcus-i,-3.5427375379738573,"Lasso(alpha=0.1, max_iter=10000)"
0.1,27.0,6.478392112039507,prcus-a,-1.6957122733745542,"Lasso(alpha=0.1, max_iter=10000)"
0.1,27.0,6.478392112039507,ifrms,-3.0962485361916987,"Lasso(alpha=0.1, max_iter=10000)"
0.1,27.0,6.478392112039507,sspls-v,0.6082699207310018,"Lasso(alpha=0.1, max_iter=10000)"
0.1,28.0,5.995556334379728,mcgs,-1.2508127636060056,"Lasso(alpha=0.1, max_iter=10000)"
0.1,28.0,5.995556334379728,pos,-0.05290004412449648,"Lasso(alpha=0.1, max_iter=10000)"
0.1,28.0,5.995556334379728,sbps,-0.22526757345553114,"Lasso(alpha=0.1, max_iter=10000)"
0.1,28.0,5.995556334379728,prculs-d,-1.9964670952357872,"Lasso(alpha=0.1, max_iter=10000)"
0.1,28.0,5.995556334379728,prcus-p,-2.144586532212578,"Lasso(alpha=0.1, max_iter=10000)"
0.1,28.0,5.995556334379728,prcus-i,-3.4801989561534556,"Lasso(alpha=0.1, max_iter=10000)"
0.1,28.0,5.995556334379728,prcus-a,-0.4459003545259427,"Lasso(alpha=0.1, max_iter=10000)"
0.1,28.0,5.995556334379728,ifrms,-2.7145827933732147,"Lasso(alpha=0.1, max_iter=10000)"
0.1,28.0,5.995556334379728,sspls-v,0.8175256407816262,"Lasso(alpha=0.1, max_iter=10000)"
0.107,1.0,6.372112528005274,mcgs,-0.8083863685822968,"Lasso(alpha=0.107, max_iter=10000)"
0.107,1.0,6.372112528005274,pos,-0.0,"Lasso(alpha=0.107, max_iter=10000)"
